Name	Ensembl_ID	Uniprot	Category	R2
LEP	ENSG00000174697	P41159	Secreted to blood	0.67
LEP	ENSG00000174697	P41159	Secreted to blood	0.64
LEP	ENSG00000174697	P41159	Secreted to blood	0.5
IGFBP6	ENSG00000167779	P24592	Secreted to blood	0.37
SHBG	ENSG00000129214	P04278	Secreted to blood	0.37
CGA	ENSG00000135346	P01215	Secreted to blood	0.36
SHBG	ENSG00000129214	P04278	Secreted to blood	0.35
GDF15	ENSG00000130513	Q99988	Secreted to blood	0.34
TFPI	ENSG00000003436	P10646	Secreted to blood	0.29
APCS	ENSG00000132703	P02743	Secreted to blood	0.27
SERPINA11	ENSG00000186910	Q86U17	Secreted to blood	0.27
IGFBP5	ENSG00000115461	P24593	Secreted to blood	0.26
SCUBE1	ENSG00000159307	Q8IWY4	Secreted to blood	0.26
IGFBP2	ENSG00000115457	P18065	Secreted to blood	0.25
MLN	ENSG00000096395	P12872	Secreted to blood	0.25
PTN	ENSG00000105894	P21246	Secreted to blood	0.25
IGFBP2	ENSG00000115457	P18065	Secreted to blood	0.24
ADIPOQ	ENSG00000181092	Q15848	Secreted to blood	0.22
CFH	ENSG00000000971	P08603	Secreted to blood	0.22
GDF11	ENSG00000135414	O95390	Secreted to blood	0.22
GHR	ENSG00000112964	P10912	Secreted to blood	0.22
CCL18	ENSG00000275385	P55774	Secreted to blood	0.21
CFI	ENSG00000205403	P05156	Secreted to blood	0.21
APOD	ENSG00000189058	P05090	Secreted to blood	0.2
CCL11	ENSG00000172156	P51671	Secreted to blood	0.2
CGA	ENSG00000135346	P01215	Secreted to blood	0.2
CRP	ENSG00000132693	P02741	Secreted to blood	0.2
IGFBP1	ENSG00000146678	P08833	Secreted to blood	0.2
SERPINF1	ENSG00000132386	P36955	Secreted to blood	0.2
C1QTNF3	ENSG00000082196	Q9BXJ4	Secreted to blood	0.19
CFH	ENSG00000000971	P08603	Secreted to blood	0.19
CGA	ENSG00000135346	P01215	Secreted to blood	0.19
IGFBP3	ENSG00000146674	P17936	Secreted to blood	0.19
IGFBP6	ENSG00000167779	P24592	Secreted to blood	0.19
IL1RL1	ENSG00000115602	Q01638	Secreted to blood	0.19
FETUB	ENSG00000090512	Q9UGM5	Secreted to blood	0.18
IGFBP1	ENSG00000146678	P08833	Secreted to blood	0.18
INHBC	ENSG00000175189	P55103	Secreted to blood	0.18
APOM	ENSG00000204444	O95445	Secreted to blood	0.17
CST3	ENSG00000101439	P01034	Secreted to blood	0.17
GH2	ENSG00000136487	P01242	Secreted to blood	0.17
NPPB	ENSG00000120937	P16860	Secreted to blood	0.17
NPW	ENSG00000183971	Q8N729	Secreted to blood	0.17
AGT	ENSG00000135744	P01019	Secreted to blood	0.16
ALB	ENSG00000163631	P02768	Secreted to blood	0.16
APOF	ENSG00000175336	Q13790	Secreted to blood	0.16
CCDC126	ENSG00000169193	Q96EE4	Secreted to blood	0.16
FGL1	ENSG00000104760	Q08830	Secreted to blood	0.16
SERPINA7	ENSG00000123561	P05543	Secreted to blood	0.16
CFB	ENSG00000243649	P00751	Secreted to blood	0.15
IL1RN	ENSG00000136689	P18510	Secreted to blood	0.15
LHB	ENSG00000104826	P01229	Secreted to blood	0.15
ITIH3	ENSG00000162267	Q06033	Secreted to blood	0.14
PLA2G2A	ENSG00000188257	P14555	Secreted to blood	0.14
PLAT	ENSG00000104368	P00750	Secreted to blood	0.14
TGFBI	ENSG00000120708	Q15582	Secreted to blood	0.14
TNFAIP6	ENSG00000123610	P98066	Secreted to blood	0.14
CFD	ENSG00000197766	P00746	Secreted to blood	0.13
FAS	ENSG00000026103	P25445	Secreted to blood	0.13
IGF1	ENSG00000017427	P05019	Secreted to blood	0.13
INSL3	ENSG00000248099	P51460	Secreted to blood	0.13
MIA	ENSG00000261857	Q16674	Secreted to blood	0.13
SERPINF1	ENSG00000132386	P36955	Secreted to blood	0.13
A2M	ENSG00000175899	P01023	Secreted to blood	0.12
AHSG	ENSG00000145192	P02765	Secreted to blood	0.12
CCL16	ENSG00000275152	O15467	Secreted to blood	0.12
GREM2	ENSG00000180875	Q9H772	Secreted to blood	0.12
IGFBP4	ENSG00000141753	P22692	Secreted to blood	0.12
TFF3	ENSG00000160180	NA	Secreted to blood	0.12
TFF3	ENSG00000160180	NA	Secreted to blood	0.12
C1RL	ENSG00000139178	Q9NZP8	Secreted to blood	0.11
CCL21	ENSG00000137077	O00585	Secreted to blood	0.11
CCL3	ENSG00000277632	P10147	Secreted to blood	0.11
ENTPD6	ENSG00000197586	O75354	Secreted to blood	0.11
F9	ENSG00000101981	P00740	Secreted to blood	0.11
F9	ENSG00000101981	P00740	Secreted to blood	0.11
FAS	ENSG00000026103	P25445	Secreted to blood	0.11
IL15RA	ENSG00000134470	Q13261	Secreted to blood	0.11
PPY	ENSG00000108849	P01298	Secreted to blood	0.11
ADAMTS13	ENSG00000160323	Q76LX8	Secreted to blood	0.1
APOL1	ENSG00000100342	O14791	Secreted to blood	0.1
CHIT1	ENSG00000133063	Q13231	Secreted to blood	0.1
EGFR	ENSG00000146648	P00533	Secreted to blood	0.1
ESM1	ENSG00000164283	Q9NQ30	Secreted to blood	0.1
IGLL1	ENSG00000128322	P15814	Secreted to blood	0.1
LGALS3BP	ENSG00000108679	Q08380	Secreted to blood	0.1
PI3	ENSG00000124102	P19957	Secreted to blood	0.1
SERPINC1	ENSG00000117601	P01008	Secreted to blood	0.1
SERPIND1	ENSG00000099937	P05546	Secreted to blood	0.1
SOD3	ENSG00000109610	P08294	Secreted to blood	0.1
APOE	ENSG00000130203	P02649	Secreted to blood	0.09
