Protein Symbol,Heritability
APOA,0.6633
MUCB,0.6542
CD5L,0.6180
FHR1,0.6149
FHR3,0.6066
GDE,0.5759
IGJ,0.5529
A1AG2,0.5408
HNRPR,0.5384
CO4B,0.5288
HV320,0.5127
IC1,0.4912
SODE,0.4840
PEDF,0.4812
CO8B,0.4810
GOLI4,0.4784
APOE,0.4748
CFAI,0.4728
LMAN2,0.4594
VDAC1,0.4581
KV308,0.4417
PRS6A,0.4408
CO4A,0.4321
HSPB1,0.4260
NDKB,0.4145
PPIB,0.4072
LBP,0.4064
AACT,0.4018
FIBA,0.3986
ALS,0.3943
HV302,0.3926
LIPP,0.3841
IGKC,0.3821
A1AT,0.3816
CBPB2,0.3783
TRFM,0.3760
IGHG2,0.3738
BZW1,0.3672
KLKB1,0.3638
FETUA,0.3638
PROF1,0.3572
IPSP,0.3542
IGHD,0.3526
APOC3,0.3521
CFAB,0.3492
APOC4,0.3482
KV110,0.3480
KV101,0.3379
THRB,0.3354
CO9,0.3353
A1AG1,0.3334
ACTN4,0.3269
APMAP,0.3200
HV206,0.3107
IGHM,0.3095
PI42A,0.3077
SYAC,0.3052
PLMN,0.3048
HV103,0.3040
SARNP,0.2995
KV121,0.2991
VTNC,0.2981
CO5,0.2951
CO2,0.2947
PUR4,0.2875
SAMP,0.2841
ADIPO,0.2828
PHLD,0.2821
GANAB,0.2811
A1BG,0.2805
PROS,0.2768
FIBB,0.2720
AFAM,0.2698
CPN2,0.2675
VTDB,0.2639
CHLE,0.2608
KV309,0.2602
CO8G,0.2557
IGHA1,0.2545
SAA4,0.2530
ANXA5,0.2499
TSP1,0.2486
TRFE,0.2482
BAZ2B,0.2471
LCAT,0.2461
AL1A1,0.2435
C4BPA,0.2429
HV310,0.2379
HGFL,0.2353
HEP2,0.2341
FIBG,0.2337
F13A,0.2337
APOA4,0.2337
KV113,0.2290
APOL1,0.2196
HV303,0.2193
APOD,0.2175
GALK1,0.2166
TTHY,0.2158
ITIH4,0.2145
SHBG,0.2128
CATZ,0.2022
XPO1,0.2014
CBPN,0.1953
IGHG1,0.1926
HXK1,0.1918
NUCB2,0.1890
HNRL2,0.1849
PIGR,0.1831
RET4,0.1792
ZPI,0.1766
FA5,0.1744
KV109,0.1729
A2GL,0.1704
CERU,0.1701
CNDP1,0.1700
KAIN,0.1651
AL9A1,0.1632
VWF,0.1599
FLNB,0.1575
LV302,0.1535
MPRI,0.1525
APOM,0.1525
SPTA1,0.1523
KV105,0.1510
RS3A,0.1494
HPT,0.1493
RS4X,0.1491
TETN,0.1477
ANT3,0.1461
GPX3,0.1442
FA11,0.1402
TLN1,0.1384
C1TC,0.1382
CRP,0.1377
CO3,0.1373
G6PD,0.1341
PYGL,0.1341
CSK,0.1313
FAS,0.1293
C1QB,0.1291
PCYOX,0.1282
HV316,0.1278
DOPO,0.1263
GGCT,0.1256
HABP2,0.1246
FLNA,0.1215
HMCS1,0.1208
CEAM8,0.1185
FHR4,0.1185
FBLN3,0.1155
SERA,0.1147
FCGBP,0.1122
INF2,0.1113
FA9,0.1093
A2AP,0.1085
